,_1
40,"['court', 'told', 'accused', 'gangland', 'bosss', 'trial', 'may']"
41,"['dozens', 'dead', 'storms', 'lash', 'portuguese', 'island']"
42,"['todt', 'elected', 'head', 'motorsport', 'body', 'fia']"
43,"['egg', 'timer', 'test', 'help', 'couples', 'plan', 'pregnancy']"
44,"['graham', 'west', 'talks', '702', 'host', 'adam', 'spencer']"
45,"['community', 'invited', 'voice', 'ward', 'concerns']"
46,"['lions', 'hand', 'voss', 'first', 'win']"
47,"['saddams', 'execution', 'revives', 'death', 'penalty', 'debate']"
48,"['darwin', 'inflation', 'rate', 'outstrips', 'national', 'average']"
49,"['rising', 'actors', 'score', 'mamma', 'starring', 'roles']"
50,"['taufua', 'fined', 'bennett', 'tweets']"
51,"['indigenous', 'ladies', 'learn', 'bio', 'control', 'protect']"
52,"['37', 'missing', 'ukraine', 'blast', 'official']"
53,"['abbott', 'woolworths', 'selling', 'prescription']"
54,"['noel', 'pearson', 'northern', 'development', 'indigenous', 'land', 'rights']"
55,"['australian', 'pga', 'championship', 'day', 'two', 'wrap']"
56,"['anger', 'retrial', ""egypt's"", 'mubarak', 'aborted']"
57,"['stream', 'box', 'north', 'queensland', 'cowboys', 'vs', 'newcastle', 'knights']"
58,"['fourth', 'horse', 'destroyed', 'hendra', 'virus', 'property']"
59,"['railcorp', 'accused', 'safety', 'cover']"
60,"['dna', 'rape', 'accused', 'ordered', 'trial']"
61,"['webber', 'runs', 'empty', 'shanghai']"
62,"['merciless', 'saints', 'crush', 'collingwood']"
63,"['memorable', 'waca', 'moments']"
64,"['cash', 'slams', 'inappropriate', 'sexist', 'gibbons', 'tweet']"
65,"['dr', 'kevin', 'buckett', 'health', 'says', 'lye', 'water']"
66,"['tony', 'abbott', 'offers', 'condolences', 'victims', 'sydney', 'siege']"
67,"['safety', 'concerns', 'staff', 'enforcing', 'alcohol', 'free', 'zones']"
68,"['interview', 'jordan', 'lewis']"
69,"['cane', 'toad', 'numbers', 'surging', 'darwin']"
70,"['fly', 'getting', 'mail', 'bush']"
71,"['rudd', 'reassures', 'chinalco', 'failed', 'merger']"
72,"['mackay', 'airport', 'hopes', 'entice', 'tiger', 'air']"
73,"['bushrangers', 'sign', 'bravo', 'prior']"
74,"['memories', 'remain', 'vivid']"
75,"['adelaide', 'secures', 'portuguese', 'attacker']"
76,"['questioned', 'tram', 'robberies']"
77,"['williams', 'escapes', 'dangerous', 'tackle', 'penalty']"
78,"['saints', 'demons', 'finals', 'hopes', '36', 'point', 'win']"
79,"['gay', 'says', 'ready', '100', 'metres']"
80,"['homosexual', 'advance', 'law']"
81,"['front', 'court', 'accused', 'assaulting', 'police']"
82,"['commercial', 'fishing', 'groups', 'call', 'safer', 'boating']"
83,"['work', 'camp', 'prisoners', 'sent', 'high', 'security', 'jail']"
84,"['cyclone', 'hamish', 'threatens', 'qlds', 'whitsundays', 'islands']"
85,"['uc', 'anu', 'alliance', 'strengthen', 'institutions']"
86,"['investors', 'turn', 'agribusiness', 'stocks']"
87,"['toulouse', 'gunmans', 'brother', 'proud', 'killing', 'spree']"
88,"['missing', 'flinders', 'island', 'fisherman', 'named', 'robert', 'charles', 'mansell']"
89,"['smithton', 'resident', 'john', 'hyde', 'speaks', 'abc']"
90,"['woman', 'bashed', 'outside', 'darwin', 'shopping', 'centre']"
91,"['hotel', 'owner', 'defends', 'staff', 'racism', 'claims']"
92,"['rann', 'upset', 'charges', 'former', 'adviser']"
93,"['aussies', 'lack', 'hunger', 'says', 'waugh']"
94,"['labor', 'platform', 'sex', 'marriage', 'changes']"
95,"['blair', 'undecided', 'iraq', 'troop', 'movement']"
96,"['cannes', 'jewellery', 'heist', 'worth', 'nearly', '150', 'million', 'dollars']"
97,"['act', 'govt', 'defends', 'hospital', 'parking', 'decision']"
98,"['review', 'reveals', 'dubbo', 'crime', 'rise']"
99,['inquest']
100,"['remains', 'found', 'vietnam', 'wreckage']"
101,"['saputo', 'increases', 'takeover', 'offer', 'warrnambool', 'cheese']"
102,"['christopher', 'miles', 'interviewed', 'act', 'police']"
103,"['moana', 'prepares', 'reds', 'debut']"
104,"['young', 'australians', 'words']"
105,"['new', 'system', 'speed', 'tsunami', 'warnings']"
106,"['oakey', 'abattoir', 'general', 'manger', 'pat', 'gleeson', 'speaks']"
107,"['ran', 'march', 'darwin', 'freedom', 'entry', 'city']"
108,"['martin', 'luther', 'protestant', 'reformation', 'still', 'matter', 'today']"
109,"['food', 'industry', 'reels', 'imports', 'overtake', 'exports']"
110,"['custody', 'changes', 'divide', 'fathers', 'groups']"
111,"['fifo', 'solution', 'sought', 'resource', 'workers']"
112,"['council', 'downsizes', 'conference', 'contingent']"
113,"['northern', 'territory', 'parliament', 'evacuated', 'police', 'say']"
114,"['govt', 'urged', 'improve', 'regional', 'transport', 'options']"
115,"['australia', 'dominates', 'chittagong']"
116,"['vic', 'road', 'smash', 'kills', '2']"
117,"['dozens', 'still', 'missing', 'solomon', 'islands']"
118,"['wallaby', 'playmakers', 'starting', 'gel']"
119,"['storm', 'hang', 'beat', 'rabbitohs', '16', '12']"
120,"['talks', 'urged', 'wild', 'aerial', 'baiting']"
121,"['volkswagen', 'refit', 'cars', 'affected', 'emissions', 'scandal']"
122,"['gary', 'fattore', 'speaks', 'banana', 'retail', 'tour', 'melbourne']"
123,"['malaysia', 'bound', 'asylum', 'seekers', 'hunger', 'strike']"
124,"['assange', 'announces', 'wikileaks', 'party', 'election', 'candidates']"
125,"['water', 'experts', 'tour', 'murray', 'river', 'region']"
126,"['south', 'west', 'hot', 'summer', 'vineyard', 'warning']"
127,"['greens', 'councillor', 'quits', 'party', 'censorship']"
128,"['inmates', 'pregnancies', 'prompt', 'prison', 'security', 'concerns']"
129,"['wa', 'road', 'fatalities']"
130,"['indonesians', ""'in"", ""love'"", 'south', 'korea']"
131,"['big', 'rent', 'rise', 'coorong', 'shack', 'owners']"
132,"['headspace', ""'small'"", 'benefit', 'youth', 'mental', 'health']"
133,"['loses', 'third', 'round', 'qatar', 'open', 'first', 'appearance']"
134,"['mural', 'fest', 'brushes']"
135,"['pacific', 'islanders', 'seek', 'coach']"
136,"['australians', 'terrorism', 'charges', 'lebanon']"
137,"['rescue', 'efforts', 'underway', 'deadly', 'china', 'earthquake']"
138,"['river', 'murray', 'inflows', 'remain', 'steady']"
139,"['helicopter', 'joins', 'search', 'missing', 'angler']"
140,"['group', 'pleased', 'lead', 'removal', 'progress']"
141,"['interview', 'quade', 'cooper']"
142,"['taser', 'warns', 'chest', 'shots']"
143,"['accused', 'cocaine', 'smuggler', 'refused', 'bail']"
144,"['nauru', 'ban', 'facebook', 'diffuse', 'dissent', 'critics', 'say']"
145,"['wallabies', 'wary', 'unpredictable', 'french']"
146,"['us', 'votes', 'draft']"
147,"['big', 'crowd', 'tipped', 'alice', 'springs', 'cup']"
148,"['woman', 'burnt', 'fan', 'heater', 'starts', 'blaze']"
149,"['pies', 'upset', 'dockers']"
150,"['global', 'warming', 'could', 'affect', 'antarctic', 'species']"
151,"['jetstar', 'pilot', 'program', 'puts', 'savings', 'safety']"
152,"['hate', 'site', 'targets', 'trinitys', 'accused', 'killer']"
153,"['scalpers', 'make', 'killing', 'olympic', 'tickets']"
154,"['brain', 'injury', 'coma', 'street', 'fight']"
155,"['wcpfc', 'meeting', 'bali', 'fails', 'tackle', 'overfishing']"
156,"['wins', 'opening', 'set']"
157,"['business', 'fears', 'rail', 'future']"
158,"['teenager', 'police', 'pursuit']"
159,"['sbw', 'fight', 'heavyweight', 'belt']"
160,"['figures', 'highlight', 'rising', 'property', 'values']"
161,"['djokovic', 'opens', 'wimbledon', 'action']"
162,"['tenancy', 'law', 'changes', 'could', 'force', 'rents']"
163,"['drought', 'takes', 'toll', 'oysters']"
164,"['pm', 'announces', 'mental', 'health', 'funding', 'boost']"
165,"['2b', 'deal', 'replace', 'kings', 'black', 'hawks']"
166,"['philip', 'morris', 'decision', 'impact', 'far', 'north']"
167,"['ashes', 'podcast', 'september', '3']"
168,"['shakespearian', 'epic', 'festival', 'highlight']"
169,"['ajax', 'psv', 'win', 'dutch', 'title', 'race', 'goes']"
170,"['missing', 'near', 'broome', 'found']"
171,"['grandstand', 'thursday', 'july', '25']"
172,"['chile', 'considers', 'limiting', 'easter', 'immigration']"
173,"['dozens', 'witnesses', 'attend', 'nuttalls', 'committal']"
174,"['nauru', 'government', 'process', 'asylum', 'seekers']"
175,"['red', 'cross', 'seeks', 'blood', 'donations']"
176,"['aust', 'scientists', 'develop', 'ocean', 'forecast', 'system']"
177,"['post', 'mortem', 'starts', 'spineless', 'pakistan']"
178,"['cricket', 'nsw', 'announces', 'sydney', 'water', 'sponsor']"
179,"['credit', 'swimmers', 'suits', 'fina']"
180,"['warriors', 'close', 'first', 'innings', 'points']"
181,"['alcopops', 'still', 'popular', 'despite', 'tax']"
182,"['mauresmo', 'powers', 'quarter', 'finals']"
183,"['microbeads', 'ban', 'voluntary', 'environment', 'greg', 'hunt']"
184,"['lanning', 'leads', 'melbourne', 'stars', 'surge', 'sixth', 'wbbl', 'win']"
185,"['goalkeeper', 'collision', 'teammate']"
186,"['meat', 'industry', 'rejects', 'watered', 'id', 'system']"
187,"['likud', 'chairman', 'defects', 'sharon', 'party']"
188,"['wine', 'grape', 'growers', 'may', 'look', 'water', 'trading']"
189,"['wimbledon', 'confirms', 'introduction', 'hawkeye']"
190,"['campaign', 'discourage', 'salesmen']"
191,"['brumbies', 'lose', 'norton', 'knight', 'waratahs']"
192,"['pakistan', 'confirms', 'british', 'nationals', 'bomb', 'plot']"
193,"['stuchbery', 'centrelink']"
194,"['resources', 'council', 'plays', 'mining', 'expo', 'rivalry']"
195,"['arrests', 'made', 'airlie', 'beach', 'schoolies']"
196,"['mooloolaba', 'beach', 'storm', 'fix', 'cost', '500k']"
197,"['tighes', 'hill', 'residents', 'concern', 'ammonium', 'nitrate', 'storage']"
198,"['korea', 'pressure', 'north', 'nuclear']"
199,"['police', 'warn', 'asbestos', 'risk', 'katherine', 'house', 'fire']"
200,"['shire', 'backs', 'responsible', 'rail', 'repairs']"
201,"['local', 'food', 'tasmania', 'economy']"
202,"['grain', 'growers', 'look', 'cash', 'china', 'barley']"
203,"['closer', 'pm']"
204,"['washington', 'state', 'follows', 'colorado', 'legalising']"
205,"['restructure', 'plans', 'bushfires', 'nt']"
206,"['bitter', 'battle', 'labor', 'candidate', 'gippsland']"
207,"['nsw', 'minister', 'adrian', ""piccoli's"", 'seat', 'abolished']"
208,"['desmanthus', 'legumes', 'discovered', 'queensland']"
209,"['drone', 'video', 'antarctic', 'ice', 'floes']"
210,"['lots', 'co', 'operation', 'port', 'macquarie', 'conference']"
211,"['emergency', 'workers', 'patch', 'homes']"
212,"[""australia's"", 'fielding', 'unacceptable;', 'says', 'brad', 'haddin']"
213,"['mitsubishi', 'buy', 'murchison', 'metals']"
214,"['integrated', 'ticketing', 'kicks', 'south', 'east']"
215,"['gallas', 'stripped', 'gunners', 'captaincy', 'reports']"
216,"['belgian', 'police', 'standoff', 'armed', 'enter', 'apartment']"
217,"['china', 'hits', 'back', 'nbn', 'bid', 'rejection']"
218,"['aust', 'market', 'slumps', 'global', 'losses']"
219,"['pakistan', 'gov', 'sorry', 'bhutto', 'death', 'probe']"
220,"['defence', 'argues', 'woman', 'murdered', 'patton']"
221,"['herbicide', 'resistance', 'peter', 'newman']"
222,"['price', 'gold', 'crashes']"
223,"['tv', 'stations', 'breached', 'code', 'practice']"
224,"['magnolia', 'maymuru', 'top', 'top', 'model', 'photos']"
225,"['soldiers', 'punishment', 'iraq', 'insubordination']"
226,"['police', 'hunt', 'arana', 'hills', 'armed', 'robbers']"
227,"['chasing', 'rising', 'sun']"
228,"['community', 'tv', 'hails', 'licence', 'reprieve']"
229,"['powers', 'carr', 'added', 'charge', 'list']"
230,"['australia', 'skittled', 'hot', 'english', 'pace', 'attack']"
231,"['cameron', 'bigelow', 'score', 'directors', 'guild', 'nods']"
232,"['coroner', 'critical', 'modbury']"
233,"['andrews', 'parton', 'set', 'lifetime', 'grammys']"
234,"['territory', 'teachers', 'fear', 'attacks', 'welfare', 'trial']"
235,"['wests', 'tigers', 'announce', 'jason', 'taylor', 'head', 'coach']"
236,"['sussan', 'ley', 'undecided', 'private', 'health', 'insurance', 'hikes']"
237,"['interview', 'alastair', 'cook']"
238,"['uk', 'warns', 'syria', 'looking', 'like', 'bosnia', '1990s']"
239,"['solomons', 'internet', 'provider', 'appeals', 'customers']"
240,"['us', 'joins', 'call', 'dairy', 'subsidies']"
241,"['australias', 'largest', 'muslim', 'school', 'facing', 'closure']"
242,"['torquay', 'surfing', 'identity', 'joe', 'sweeney', 'aged', '82']"
243,"['last', 'appeal', 'witnesses', 'schoolboy', 'death']"
244,"['chester', 'quizzed', 'bairnsdale', 'project', 'funding']"
245,"['three', 'aussies', 'charged', 'drug', 'offences', 'vietnam']"
246,"['asylum', 'seeker', 'pleads', 'compassion']"
247,"['tender', 'awarded', 'rebuild', 'flood', 'hit', 'clubrooms']"
248,"['cricketer', 'chris', 'gayle', 'arrives', 'court']"
249,"['fallujah', 'sadr', 'city', 'targeted', 'latest', 'us', 'strikes']"
250,"['bringing', 'home', 'report', '20', 'years', 'children', 'worse']"
251,"['police', 'probe', 'house', 'blaze']"
252,"['rising', 'dollar', 'gouging', 'beef', 'producers']"
253,"['injured', 'house', 'gas', 'explosion']"
254,"['court', 'jails', 'drug', 'possession']"
255,"['ancient', 'egyptian', 'mummified', 'head', 'brought', 'life', 'melbourne']"
256,"['belinda', 'varischetti', 'interviews', 'alan', 'winney']"
257,"['wests', 'tigers', 'players', 'standing', 'behind', 'besieged', 'captain', 'farah']"
258,"['friday', 'forum', 'many', 'farm', 'lobby']"
259,"['abc', 'business', 'news']"
260,"['thursday', 'weather']"
261,"['councillor', 'urges', 'residents', 'respond', 'water']"
262,"['author', 'warns', 'new', 'wool', 'collapse']"
263,"['armstrong', 'eyes', 'amstel', 'gold']"
264,"['nrl', 'scorecentre', 'warriors', 'eels', 'storm', 'sharks']"
265,"['record', 'coverage', 'antarctic', 'ice']"
266,"['140m', 'act', 'school', 'projects']"
267,"['hijab', 'proud', 'symbol', 'feminism']"
268,"['barthez', 'wins', 'battle', 'french', 'keepers']"
269,"['panda', 'skeleton', 'found', 'ancient', 'tomb']"
270,"['greg', 'dufty', 'killing', 'oxenford', 'searched', 'weapons']"
271,"['quiet', 'new', ""year's"", 'perth']"
272,"['tourism', 'blow', 'tiger', 'slashes', 'alice', 'route']"
273,"['cowan', 'overlooked']"
274,"['tropfest', 'short', 'film', 'festival', 'cancellation', 'leaves', 'hole']"
275,"['nato', 'secretary', 'general', 'addresses', 'canberra', 'press']"
276,"['govt', 'accused', 'mismanaging', 'murray', 'river', 'funding']"
277,"['adelaide', 'festival', 'organisers', 'laud', 'another', 'success']"
278,"['proud', 'parents', 'cowdreys', 'achievements']"
279,"['ata', 'warns', 'freight', 'narrabri', 'moree', 'impacted']"
280,"['qantas', 'financial', 'officer', 'sells', 'shares']"
281,"['mp', 'throws', 'support', 'behind', 'turnbull']"
282,"['chaos', 'monaco', 'practice']"
283,"['combet', 'threatens', 'climate', 'change', 'kyoto', 'withdrawal']"
284,"['mayor', 'chair', 'qld', 'regional', 'health', 'service', 'board', 'misconduct', 'inq']"
285,"['hong', 'kong', 'alert', 'anthrax', 'death']"
286,"['wool', 'price', 'increases', 'predicted']"
287,"['w', 'league', 'round', '5', 'preview', 'perth', 'glory', 'vs', 'sydney', 'fc']"
288,"['vaile', 'rejects', 'double', 'standard', 'tag', 'gmos']"
289,"['gulpilils', 'new', 'film', 'helped', 'turn', 'life', 'around', 'filmmaker']"
290,"['women', 'children', 'killed', 'iraqi', 'city', 'kufa']"
291,"['museum', 'rebuild', 'begins']"
292,"['sports', 'broadcaster', 'hit', 'adelaide', 'airways']"
293,"['air', 'mines']"
294,"['fight', 'stop', 'nz', 'potato', 'imports']"
295,"['eels', 'deny', 'hayne', 'anderson', 'rift']"
296,"['changing', 'nature', 'general', 'practice']"
297,"['malcolm', 'little', 'automobile', 'chamber', 'commerce']"
298,"['drum', 'friday', 'january', '24']"
299,"['gpa', 'chairman', 'pete', 'mailler', 'speaks', 'abc', 'rural']"
300,"['jones', 'criticised', 'tinkering', 'test', 'team']"
301,"['retired', 'lieutenant', 'general', 'agus', 'widjojo', 'says']"
302,"['pies', ""'confident'"", 'cloke', 'stay']"
303,"['police', 'probe', 'shots', 'fired', 'restaurant', 'shop']"
304,"['10000', 'students', 'pledge', 'get', 'fit', 'fundraise']"
305,"['nurses', 'threaten', 'industrial', 'action', 'staffing']"
306,"['game', 'thrones', 'might', 'early', 'think']"
307,"['bikie', 'wedding', 'eleventh', 'hour', 'bid']"
308,"['pokemon', 'professors', 'living', 'childhood', 'dream']"
309,"['poison', 'warning']"
310,"['hale', 'tenterhooks', 'solomon']"
311,"['thousands', 'turn', 'flemington', 'breakfast']"
312,"['peerless', 'wiggins', 'roars', 'olympic', 'record']"
313,"['zimbabwe', 'deliver', 'final', 'insult', 'olonga']"
314,"['magnitude', '6', 'quake', 'hits', 'mexico']"
315,"['mining', 'company', 'director', 'says', 'asic', 'concerns']"
316,"['eagles', 'give', 'cats', 'scare']"
317,"['april', 'start', 'date', 'mineral', 'sands', 'mining', 'operation']"
318,"['cattle', 'protest', 'little', 'impact', 'bracks']"
319,"['zarqawi', 'harder', 'catch', 'saddam']"
320,"['rural', 'business', 'confidence', 'takes', 'hit']"
321,"['treasurer', 'joe', 'hockey', 'speaks', 'abc', 'news', 'breakfast']"
322,"['sparklers', 'fire', 'risk']"
323,"['vaile', 'joins', 'efforts', 'salvage', 'world', 'trade', 'talks']"
324,"['waugh', 'plays']"
325,"['varicose', 'veins', 'heres']"
326,"['mining', 'monitors', 'wraps']"
327,"['prebble', 'warns', 'green', 'moon']"
328,"['tamworth', 'council', 'replace', 'bridges']"
329,"['mens', 'book', 'group', 'fostering', 'mateship']"
330,"['timboon', 'school', 'expected', 'reopen', 'next', 'term', 'discovery']"
331,"['north', 'korea', 'defectors', 'tv', 'south', 'korea', 'bridging', 'divide']"
332,"['holland', 'park', 'councillor']"
333,"['rural', 'qld', 'popped', 'sorghum', 'research', '2006']"
334,"['kevin', 'creasey', 'looks', 'back', 'life', 'shearer']"
335,"['hussey', 'saves', 'australia', 'wet', 'scg']"
336,"['drum', 'panel', 'discuss', 'new', 'gratton', 'institute', 'report']"
337,"['recognises', 'latrobe', 'hospital', 'admission', 'woes']"
338,"['toxic', 'pollution', 'flowing', 'kirra', 'beach', 'gold', 'coast', 'airport']"
339,"['water', 'police', 'escort', 'torpedo', 'boat', 'crew']"
340,"['league', 'w', 'league', 'use', 'goal', 'line', 'officials', 'finals']"
341,"['consumer', 'confidence', 'slips', 'eight', 'month', 'low']"
342,"['us', 'troops', 'open', 'fire', 'iraqi', 'protesters', '1', 'killed']"
343,"['legal', 'win', 'essendon', 'ex', 'coach', 'dean', 'robinson', 'pr', 'company']"
344,"['profit', 'results', 'move', 'market', 'higher']"
345,"['call', 'vietnamese', 'mango', 'growers', 'embrace']"
346,"['drivers', 'urged', 'careful', 'near', 'oil', 'spill']"
347,"['lebanon', 'crisis', 'test', 'us']"
348,"['faces', 'sentencing', 'seniors', 'bashing']"
349,"['abc', 'sport']"
350,"['draft', 'new', 'forest', 'management', 'plan', 'due', '2012']"
351,"['mason', 'dazzles', 'hull', 'debut']"
352,"['tuross', 'head', 'tries', 'lure', 'gp']"
353,"['sri', 'lankan', 'bowlers', 'fail', 'impress']"
354,"['change', 'bridge', 'wins', 'reprieve']"
355,"['tennis', 'coach', 'facing', 'indecent', 'assault', 'charges']"
356,"['three', 'days', 'mourning', 'declared', 'stampede']"
357,"['rba', 'governor', 'says', 'mining', 'focus', 'floods']"
358,"['howard', 'side', 'stepping', 'morning', 'walk']"
359,"['report', 'shatters', 'healthy', 'country', 'folk', 'myth']"
360,"['police', 'allege', 'couple', 'selling', 'drugs', 'children']"
361,"['trick', 'welshman', 'world', 'bog', 'snorkelling']"
362,"['orlando', 'nightclub', 'shooting', 'worst', 'us', 'history']"
363,"['ticketing', 'glitch', 'justifies', 'go', 'card', 'hold']"
364,"['homelessness', 'funding', 'needs', 'longer', 'term', 'urge', 'welfare', 'groups']"
365,"['warriors', 'must', 'get', 'back', 'track']"
366,"['market', 'claws', 'ground', 'back', 'post', '2003', 'low']"
367,"['police', 'praise', 'hunter', 'motorists']"
368,"['anti', 'gas', 'hub', 'protestors', 'ramp', 'campaign']"
369,"['matildas', 'beat', 'nz', 'final', 'cup', 'warm']"
370,"['asylum', 'seeker', 'kids', 'go', 'darwin', 'schools']"
371,"['wagga', 'police', 'threaten', 'industrial', 'action', 'officer', 'shortage']"
372,"['labor', 'oppose', 'offshore', 'processing', 'bill']"
373,"['counts', 'gaza', 'damage', 'israel', 'warns', 'hit']"
374,"['blues', 'ease', 'third', 'straight', 'shield', 'win']"
375,"['gulf', 'rivers', 'eyed', 'nations', 'next', 'food', 'bowl']"
376,"['tso', 'gala', 'preparations']"
377,"['scheme', 'offer', 'jobs', 'boost']"
378,"['hope', 'developer', 'deliver', 'marina', 'project']"
379,"['mary', 'max', 'strives', 'oscar', 'gold']"
380,"['germans', 'upset', 'hockeyroos']"
381,"['false', 'tweet', 'tim', 'picton', 'revealed', 'marginal', 'adelaide', 'electorate']"
382,"['inquiry', 'probe', 'f', '111', 'workers', 'chemical', 'exposure']"
383,"['stange', 'relishing', 'new', 'iraq', 'challenge']"
384,"['romario', 'set', 'wow', 'adelaide']"
385,"['swan', 'rejects', 'mining', 'tax', 'hurt', 'qld', 'jobs']"
386,"['defence', 'says', 'deal', 'signed', 'weapons', 'testing']"
387,"['pell', 'opens', 'world', 'youth', 'day']"
388,"['jockey', 'club', 'nine', 'nominees', 'fresh', 'board']"
389,"['australian', 'peter', 'lik', 'photograph', 'sells', '78', 'million']"
390,"['woman', 'front', 'court', 'stabbing', 'attack']"
391,"['interview', 'josh', 'reynolds']"
392,"['golf', 'clubs', 'request', 'kangaroo', 'cull', 'rejected']"
393,"['asylum', 'seekers', 'continue', 'hunger', 'strike']"
394,"['sugar', 'industry', 'bouncing', 'back', 'bigger', 'haul']"
395,"['starlings', 'trapped']"
396,"['teen', 'speeding', 'crash', 'killed', 'cooper', 'ratten', 'court', 'told']"
397,"['police', 'asking', 'public', 'assistance']"
398,"['four', 'charged', 'fatal', 'illawarra', 'fire']"
399,"['socceroos', 'arrive', 'dutch', 'camp']"
400,"['melbourne', 'hit', 'severe', 'hail', 'storm']"
401,"['magpies', 'back', 'krakouer', 'back']"
402,"['buy', 'local', 'sink', 'export', 'industry', 'researcher']"
403,"['dylan', 'anthony', 'mccoll', 'jailed', 'murdering', 'brent', 'barton']"
404,"['mayor', 'seeks', 'gm', 'contracts', 'review']"
405,"['mosul', 'attacks', 'kill', '3', 'us', 'soldiers']"
406,"['catholic', 'priest', 'accused', 'child', 'sexual', 'abuse', 'granted', 'bail']"
407,"['wenger', 'promises', 'assault', 'chelsea']"
408,"['tasmanians', 'enjoy', 'white', 'christmas']"
409,"['liberals', 'decline', 'allocate', 'preferences']"
410,"['charged', 'wide', 'bay', 'fatal', 'head', 'crash', 'urangan']"
411,"['hit', 'squad', 'leader', 'prepared', 'testify']"
412,"['us', 'soldier', 'killed', 'grenade', 'attack']"
413,"['amazon', 'creator', 'raise', 'apollo', '11', 'engines']"
414,"['interview', 'nate', 'myles']"
415,"['us', 'slump', 'triggers', 'slide']"
416,"['coalition', 'scare', 'mongering', 'foreign', 'ownership']"
417,"['officials', 'attribute', 'nigerian', 'plane', 'crash', 'bad']"
418,"['byrill', 'creek', 'councillor', 'warren', 'poglase']"
419,"['djokovic', 'survives', 'gruelling', 'monaco', 'test']"
420,"['car', 'bomb', 'explodes', 'baquba']"
421,"['guildford', 'admits', 'alcoholism', 'black', 'reprieve']"
422,"['dump', 'fees', 'jump']"
423,"['police', 'suspect', 'pushed', 'apartment', 'balcony', 'valley']"
424,"['snowy', 'flows', 'tues']"
425,"['ange', 'reflects', 'one', 'magnificent', 'victory']"
426,"['block', 'declared', 'alcohol', 'free']"
427,"['nx', 'votes', 'mapping', 'auspol', 'coalitions', 'border']"
428,"['hope', 'new', 'intervention', 'scheme', 'keep', 'kids']"
429,"['market', 'drops', 'gold', 'price', 'plunges']"
430,"['fatal', 'highway', 'collapse', 'prompts', 'council', 'review']"
431,"['corrosive', 'seagull', 'droppings', 'could', 'cost', 'dandenong', 'thousands']"
432,"['cy', 'walsh', 'felt', 'neglected', 'fathers', 'career', 'took', 'priority']"
433,"['australian', 'wallaroos', 'thrashed', 'france', 'rugby', 'world', 'cup']"
434,"['whistleblowers', 'counting', 'cost']"
435,"['suleman', 'faces', 'new', 'charges']"
436,"['cooma', 'monaro', 'land', 'values', 'skyrocket']"
437,"['queensland', 'corruption', 'fighter', 'slams', 'palaszczuk', 'government']"
438,"['drum', 'monday', 'september', '4']"
439,"['png', 'court', 'rules', 'asylum', 'seeker', 'detention', 'manus', 'island', 'illegal']"
440,"['residents', 'voice', 'drag', 'way', 'concerns']"
441,"['uk', 'anthrax']"
442,"['interview', 'chris', 'mayne']"
